 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0606                                                         Jan  7  19:16    
        Jan 14  11:49     Jan 21  21:14     Jan 29  23:54     Feb  6  03:29    
        Feb 12  23:58     Feb 20  17:55     Feb 28  13:38     Mar  7  10:18    
        Mar 14  12:45     Mar 22  13:39     Mar 30  00:21     Apr  5  16:45    
        Apr 13  02:27     Apr 21  06:49     Apr 28  08:52     May  4  23:49    
        May 12  17:12     May 20  20:38     May 27  16:09 p   Jun  3  08:33    
        Jun 11  08:36 A   Jun 19  07:18     Jun 25  23:07 n   Jul  2  19:52    
        Jul 10  23:53     Jul 18  15:33     Jul 25  06:35     Aug  1  10:26    
        Aug  9  14:23     Aug 16  22:21     Aug 23  15:28     Aug 31  04:15    
        Sep  8  03:48     Sep 15  04:45     Sep 22  02:45     Sep 30  00:19    
        Oct  7  16:22     Oct 14  11:46     Oct 21  17:13     Oct 29  20:54    
        Nov  6  04:23     Nov 12  20:25     Nov 20  10:51 p   Nov 28  16:07    
        Dec  5  15:56 T   Dec 12  07:36     Dec 20  06:28     Dec 28  08:36    
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0607   Jan  4  02:53     Jan 10  21:50     Jan 19  02:02     Jan 26  21:40    
        Feb  2  13:11     Feb  9  14:49     Feb 17  19:43     Feb 25  07:17    
        Mar  3  23:11     Mar 11  09:29     Mar 19  10:38     Mar 26  14:06    
        Apr  2  09:36     Apr 10  04:18     Apr 17  22:43     Apr 24  19:15    
        May  1  21:07     May  9  21:57     May 17  08:25 t   May 24  00:10    
        May 31  10:08 P   Jun  8  13:43     Jun 15  16:23     Jun 22  06:24    
        Jun 30  00:33     Jul  8  03:22     Jul 14  23:28     Jul 21  15:20    
        Jul 29  15:59     Aug  6  14:55     Aug 13  06:39     Aug 20  03:54    
        Aug 28  07:57     Sep  5  00:34     Sep 11  15:05     Sep 18  20:22    
        Sep 26  23:56     Oct  4  08:45     Oct 11  01:46     Oct 18  16:02    
        Oct 26  15:23 P   Nov  2  16:13     Nov  9  15:15 t   Nov 17  13:30    
        Nov 25  05:39 P   Dec  2  00:04     Dec  9  07:25     Dec 17  10:51    
        Dec 24  18:15     Dec 31  09:22                                        
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
